Module_id,Response_ID,Satisfaction,Age,Gender,Customer type,Travel type,Ticket type,Flight distance,Departure delay in minutes,Arrival delay in minutes,Flight schedule suitability,Booking service,Online checkin,Airport checkin,Baggage handling,Boarding service,Cabin crew service,Seat comfort,Food and drink,Inflight entertainment,Inflight wifi,Leg room,Inflight amenities quality,Cleanliness
78219,17674,neutral or dissatisfied,79,Female,Loyal,Business,Business,1643,0,0,1,1,4,2,3,1,3,4,4,3,3,3,3,2
82244,102758,neutral or dissatisfied,26,Male,Discontinued,Business,Business,1618,0,0,3,3,3,5,3,1,4,2,2,2,3,2,5,2
2032,112537,neutral or dissatisfied,28,Male,Loyal,Personal,Economy,957,3,5,1,2,2,3,4,4,1,1,1,1,2,3,4,1
43060,95796,neutral or dissatisfied,61,Female,Loyal,Business,Economy Plus,181,11,7,4,4,4,3,3,4,3,3,5,3,3,3,3,3
58985,1441,satisfied,44,Female,Loyal,Business,Business,2938,5,0,3,3,4,3,2,3,2,5,2,2,3,2,2,5
96720,59976,satisfied,14,Female,Loyal,Personal,Economy,937,11,4,4,0,0,5,5,4,5,3,3,3,0,4,4,3
75959,2099,neutral or dissatisfied,11,Male,Loyal,Personal,Economy,812,45,42,1,3,3,1,3,4,1,2,2,2,3,5,4,2
28755,14657,neutral or dissatisfied,52,Male,Loyal,Personal,Economy,162,0,13,5,0,0,3,5,1,5,2,2,2,2,5,4,2
84059,7814,neutral or dissatisfied,58,Female,Loyal,Business,Economy,650,0,0,3,3,3,4,3,3,3,2,2,3,3,3,3,1
54727,94313,satisfied,58,Female,Loyal,Business,Business,239,4,0,5,5,5,4,4,5,4,5,3,4,5,4,4,5
11139,79115,neutral or dissatisfied,19,Male,Loyal,Personal,Economy,356,0,0,4,3,3,5,5,3,3,4,4,4,3,4,4,4
24321,121469,neutral or dissatisfied,54,Female,Loyal,Personal,Economy,257,51,41,5,4,5,2,5,2,5,4,5,5,4,4,5,1
73981,33349,satisfied,26,Male,Discontinued,Business,Economy,1269,0,0,4,4,5,3,5,1,5,3,3,3,5,1,4,3
4995,88948,satisfied,33,Female,Loyal,Business,Business,1340,0,0,2,2,5,5,4,2,4,5,4,4,2,4,4,3
78911,66973,satisfied,55,Female,Loyal,Business,Business,1794,0,0,4,4,4,3,4,4,4,4,2,4,4,4,4,3
51442,83088,neutral or dissatisfied,38,Male,Discontinued,Business,Economy,583,0,2,0,2,2,4,1,4,5,2,2,2,2,4,5,2
73291,54568,neutral or dissatisfied,45,Female,Discontinued,Business,Economy Plus,925,95,113,3,3,3,1,4,3,3,4,4,4,3,1,4,4
85874,12045,neutral or dissatisfied,61,Female,Loyal,Business,Economy,351,0,0,3,5,4,4,5,5,5,3,2,5,4,4,5,2
27784,62396,neutral or dissatisfied,23,Male,Loyal,Personal,Economy,2704,5,0,4,2,2,5,4,4,4,3,3,3,2,5,4,3
27470,62562,neutral or dissatisfied,21,Male,Discontinued,Business,Economy,721,1,2,3,3,3,4,2,3,2,4,4,4,3,5,4,4
19088,50490,satisfied,57,Male,Loyal,Personal,Economy,363,0,0,5,5,5,5,5,3,3,5,5,5,5,4,4,5
13536,75255,neutral or dissatisfied,21,Female,Loyal,Personal,Economy,1744,2,0,5,2,2,5,5,1,4,4,4,4,2,2,4,4
44510,55629,neutral or dissatisfied,65,Male,Loyal,Personal,Economy,1824,2,0,5,1,1,3,5,3,3,2,1,1,1,5,5,1
75202,78157,neutral or dissatisfied,40,Male,Discontinued,Business,Business,192,0,0,2,2,2,3,4,1,3,3,3,3,3,4,5,3
7295,121510,neutral or dissatisfied,18,Female,Discontinued,Business,Economy,1009,0,0,2,2,2,2,3,4,3,4,4,4,2,1,4,4
63572,12098,satisfied,36,Female,Loyal,Business,Business,1034,0,0,3,3,1,5,4,3,4,5,4,4,3,4,4,3
428,123078,satisfied,46,Male,Loyal,Business,Business,2623,0,0,3,3,5,3,5,3,5,4,3,5,3,5,5,5
89709,40565,neutral or dissatisfied,23,Female,Discontinued,Business,Economy,216,0,0,3,4,4,3,3,3,2,3,3,3,4,1,2,3
95884,3671,neutral or dissatisfied,43,Female,Loyal,Business,Business,3118,2,0,4,4,3,4,2,4,2,4,2,2,2,2,2,4
63068,56287,neutral or dissatisfied,22,Male,Discontinued,Business,Economy,2227,0,7,4,4,4,1,1,3,4,2,2,2,4,2,3,2
89896,25535,neutral or dissatisfied,14,Female,Loyal,Personal,Economy,481,1,0,2,1,1,1,1,1,3,5,5,5,1,2,2,5
32905,49626,neutral or dissatisfied,27,Male,Loyal,Business,Economy,421,7,3,1,5,3,1,3,1,2,3,3,3,3,2,3,3
54468,56443,neutral or dissatisfied,77,Female,Loyal,Business,Business,319,0,15,4,1,4,1,4,4,4,4,3,4,4,4,4,3
70804,88265,neutral or dissatisfied,30,Female,Loyal,Business,Business,594,30,21,1,1,2,4,3,1,1,2,2,2,2,4,4,2
62512,29377,neutral or dissatisfied,45,Female,Loyal,Business,Business,2457,25,24,2,2,3,3,4,2,5,3,3,2,3,4,4,3
66942,104908,neutral or dissatisfied,54,Female,Loyal,Personal,Economy,1565,17,29,4,5,4,3,1,3,1,5,2,1,4,5,1,5
22197,24747,neutral or dissatisfied,39,Female,Discontinued,Business,Business,432,0,4,2,2,2,2,5,3,3,2,2,2,2,1,4,2
34371,27265,neutral or dissatisfied,38,Female,Loyal,Business,Business,1637,0,0,2,2,3,4,2,2,2,3,5,2,2,2,2,4
38837,121898,neutral or dissatisfied,62,Male,Loyal,Personal,Economy,366,0,0,4,4,4,5,4,5,5,1,4,4,3,2,4,4
101355,77503,neutral or dissatisfied,28,Female,Loyal,Personal,Economy,1195,0,0,5,4,4,4,4,1,4,2,2,2,4,3,5,2
5341,88849,neutral or dissatisfied,33,Female,Loyal,Personal,Economy Plus,250,0,0,4,4,4,4,5,2,5,1,1,1,4,5,4,1
80484,62438,satisfied,37,Female,Loyal,Business,Business,1943,0,7,1,1,4,5,5,1,5,5,2,5,1,5,5,4
54881,76988,neutral or dissatisfied,37,Male,Discontinued,Business,Business,368,0,0,2,2,2,4,5,2,4,5,5,5,2,3,4,5
18857,98028,neutral or dissatisfied,24,Female,Loyal,Personal,Economy,1014,0,0,4,2,2,1,4,1,4,4,1,1,2,1,2,1
4026,7054,satisfied,53,Female,Loyal,Business,Business,273,0,0,4,4,5,3,4,4,4,4,5,4,4,4,4,4
30667,111173,satisfied,23,Female,Loyal,Personal,Business,1703,10,0,1,5,5,2,2,2,4,3,3,3,4,1,3,3
75606,124375,satisfied,43,Female,Loyal,Business,Business,575,0,0,5,5,4,5,5,5,5,4,4,5,5,5,5,4
96092,29046,neutral or dissatisfied,25,Female,Loyal,Personal,Economy,954,0,8,5,2,2,3,5,2,3,3,3,3,3,4,4,3
53488,36080,neutral or dissatisfied,40,Male,Loyal,Personal,Economy,399,0,0,1,2,2,3,4,4,4,5,5,5,2,2,4,5
21040,9320,neutral or dissatisfied,22,Female,Loyal,Business,Economy,542,3,0,4,4,4,3,4,4,4,2,4,4,4,1,3,4
82742,70794,satisfied,48,Male,Loyal,Business,Economy,328,0,0,4,4,4,3,4,4,2,4,4,4,4,2,4,4
49019,67775,neutral or dissatisfied,28,Male,Discontinued,Business,Economy,1205,30,45,4,4,4,2,2,3,2,4,4,4,4,3,2,4
31655,80881,satisfied,30,Female,Loyal,Business,Business,2482,3,0,2,2,4,3,5,2,4,4,4,4,2,4,4,4
94784,90668,satisfied,47,Male,Loyal,Business,Business,250,0,0,2,4,5,3,5,4,5,5,2,5,4,5,5,5
25503,21574,neutral or dissatisfied,39,Male,Loyal,Personal,Economy Plus,399,10,3,4,3,3,3,2,4,5,1,1,1,3,5,1,1
98563,94728,neutral or dissatisfied,39,Female,Loyal,Business,Business,187,0,0,1,1,3,1,1,1,3,2,3,3,1,3,3,3
12842,110581,neutral or dissatisfied,44,Female,Loyal,Business,Business,488,102,96,5,5,1,1,2,5,2,2,5,2,2,2,2,4
29225,45112,neutral or dissatisfied,80,Male,Discontinued,Business,Economy,157,144,130,1,1,4,4,2,2,1,4,1,3,1,2,1,4
77991,74306,satisfied,15,Male,Discontinued,Business,Economy,1205,0,2,3,3,3,4,4,4,4,5,5,5,4,5,5,5
94561,67114,neutral or dissatisfied,31,Female,Loyal,Business,Business,1748,14,17,5,5,3,3,3,5,4,3,3,3,3,1,3,3
8522,121274,satisfied,56,Male,Loyal,Business,Business,2075,16,19,1,1,5,3,4,1,4,5,4,4,1,4,4,3
38875,6751,satisfied,45,Male,Loyal,Business,Business,1720,11,32,1,1,5,3,4,1,4,4,4,4,1,4,4,3
30777,54368,satisfied,33,Female,Loyal,Business,Economy Plus,1235,0,0,2,2,4,2,3,2,2,4,4,4,4,2,5,4
78978,32193,satisfied,55,Female,Loyal,Business,Business,3158,0,0,4,4,3,3,3,4,5,2,3,5,4,5,5,1
72158,93410,satisfied,23,Female,Loyal,Business,Business,671,6,0,4,4,4,5,4,4,4,4,4,4,4,2,5,4
27653,98161,satisfied,31,Female,Loyal,Personal,Economy,562,31,35,4,1,1,3,5,2,4,5,1,1,0,4,5,1
16236,126581,neutral or dissatisfied,20,Female,Discontinued,Business,Economy,1158,0,0,2,2,2,3,4,4,1,3,3,3,2,1,3,3
27903,21515,neutral or dissatisfied,36,Female,Loyal,Personal,Economy,399,0,0,5,2,2,4,4,4,5,3,3,3,2,3,4,3
72950,21046,satisfied,56,Female,Loyal,Business,Business,2154,0,0,4,4,1,2,5,4,5,4,2,5,4,4,5,1
86746,96539,neutral or dissatisfied,46,Male,Loyal,Personal,Economy,302,64,69,5,2,2,4,4,3,5,3,3,3,2,3,5,3
77066,41457,neutral or dissatisfied,25,Female,Loyal,Personal,Business,1428,8,8,4,1,1,3,4,3,5,4,4,4,1,3,5,4
14590,123960,neutral or dissatisfied,33,Male,Loyal,Personal,Business,184,11,13,4,3,3,4,4,3,3,1,1,1,3,2,3,1
65458,71483,satisfied,40,Female,Loyal,Business,Business,1197,4,2,4,4,4,3,2,4,2,5,5,2,4,2,2,4
95598,6555,satisfied,24,Male,Discontinued,Business,Business,473,10,2,0,4,4,5,5,4,5,5,5,5,4,4,4,5
59755,80241,satisfied,50,Male,Loyal,Business,Business,1269,0,0,1,1,5,5,4,1,4,5,2,4,1,4,4,5
98574,35698,neutral or dissatisfied,29,Female,Loyal,Personal,Economy,2586,0,0,2,2,2,2,3,4,3,2,2,4,2,4,4,2
23596,38011,satisfied,29,Female,Loyal,Business,Business,3534,65,52,5,5,4,4,5,5,4,4,4,4,5,3,1,4
33993,120266,satisfied,23,Female,Loyal,Business,Business,1576,21,42,5,5,5,3,5,5,3,5,5,5,5,2,4,5
49661,33639,neutral or dissatisfied,41,Female,Loyal,Personal,Economy,399,26,34,5,4,4,3,4,4,4,3,3,3,4,5,5,3
32709,109890,neutral or dissatisfied,49,Female,Loyal,Business,Business,1052,19,0,4,4,3,2,1,4,1,4,1,1,1,1,1,1
57865,22090,satisfied,23,Male,Loyal,Business,Business,782,16,7,1,1,4,4,2,1,2,3,3,3,1,5,2,3
69869,37825,neutral or dissatisfied,39,Male,Loyal,Business,Business,937,129,117,5,5,3,3,2,5,2,4,2,2,2,2,2,4
9934,341,neutral or dissatisfied,35,Female,Loyal,Personal,Economy,821,0,6,5,1,1,3,5,3,4,2,3,3,1,4,4,3
98685,114072,neutral or dissatisfied,9,Female,Discontinued,Business,Economy,868,65,59,3,3,3,3,2,4,4,3,3,3,3,2,3,3
88792,48871,satisfied,61,Male,Loyal,Business,Economy,109,42,31,5,5,2,1,5,5,3,2,2,2,2,1,2,2
81173,112627,neutral or dissatisfied,49,Male,Loyal,Personal,Economy,639,152,153,5,4,3,3,4,2,4,3,4,4,4,4,5,3
77871,2191,neutral or dissatisfied,58,Female,Loyal,Personal,Economy,685,0,0,4,1,4,3,1,3,1,5,2,1,1,1,1,5
64950,9053,satisfied,40,Male,Loyal,Business,Business,1922,0,0,2,5,4,3,4,2,5,5,5,5,2,5,5,3
64172,86996,neutral or dissatisfied,44,Female,Loyal,Personal,Economy,907,0,1,1,4,2,1,3,3,3,3,3,3,3,4,3,3
65288,126376,neutral or dissatisfied,60,Male,Loyal,Personal,Economy,507,0,0,4,3,3,3,5,4,4,3,2,2,3,3,4,2
62073,61947,neutral or dissatisfied,49,Male,Loyal,Business,Business,2052,10,0,2,2,2,1,2,2,2,3,1,2,2,2,2,1
93048,75729,satisfied,46,Male,Loyal,Business,Business,868,1,5,2,2,4,4,5,2,5,5,3,5,2,5,5,5
17835,49960,neutral or dissatisfied,36,Female,Discontinued,Business,Economy,326,13,49,1,3,3,4,3,4,4,4,3,3,3,4,3,3
34007,104141,neutral or dissatisfied,11,Female,Loyal,Personal,Economy,393,5,0,4,2,2,2,3,3,1,3,3,3,2,3,2,3
57276,118322,neutral or dissatisfied,26,Female,Discontinued,Business,Business,602,0,0,1,1,1,3,5,2,4,1,1,1,1,5,4,1
74016,93954,neutral or dissatisfied,10,Male,Loyal,Personal,Economy,507,23,14,5,4,4,4,4,2,1,2,2,2,4,5,3,2
101172,15151,neutral or dissatisfied,46,Male,Loyal,Personal,Economy,1042,0,0,1,3,3,4,3,4,1,3,3,3,3,2,3,3
91412,12366,neutral or dissatisfied,70,Male,Loyal,Business,Economy,201,0,0,1,5,2,3,3,1,3,2,2,2,2,4,3,2
60760,128201,satisfied,33,Female,Loyal,Business,Business,1606,0,0,3,3,5,4,5,3,5,4,3,5,3,5,5,4
99438,18467,satisfied,44,Male,Loyal,Business,Business,2597,49,50,3,3,5,5,3,3,5,5,3,5,3,5,5,2
91744,77209,neutral or dissatisfied,61,Female,Loyal,Personal,Economy,2994,0,3,3,3,2,2,4,4,5,2,3,2,3,3,1,2
91862,55701,neutral or dissatisfied,31,Female,Loyal,Business,Business,1798,7,10,4,4,4,1,4,4,1,4,4,4,4,3,4,4
33689,43362,neutral or dissatisfied,47,Female,Loyal,Personal,Economy,358,0,0,4,1,5,3,2,3,5,4,4,5,1,1,5,3
101237,93061,satisfied,48,Female,Loyal,Business,Business,297,3,0,3,3,4,3,4,3,4,4,2,4,3,4,4,5
98881,73079,satisfied,27,Female,Loyal,Business,Business,3810,37,67,1,1,5,4,4,1,5,5,5,5,1,3,4,5
64914,35791,neutral or dissatisfied,30,Female,Loyal,Personal,Economy,200,0,23,2,0,0,4,2,2,1,4,4,4,2,4,1,4
88620,17937,satisfied,35,Female,Loyal,Business,Economy,95,10,2,2,2,5,1,1,2,3,5,5,5,5,1,3,5
103028,24721,neutral or dissatisfied,32,Male,Discontinued,Business,Economy,406,0,3,0,1,1,3,2,3,1,2,3,3,1,5,5,3
18060,102392,neutral or dissatisfied,53,Male,Loyal,Business,Business,1592,0,0,4,4,4,1,3,4,3,3,5,3,3,3,3,1
84343,82121,neutral or dissatisfied,34,Male,Loyal,Business,Economy Plus,1276,1,3,1,1,3,3,4,1,4,3,3,3,3,4,3,3
278,103291,satisfied,40,Male,Loyal,Business,Business,1959,209,191,3,3,4,4,5,3,3,4,4,4,3,5,5,4
37187,9498,neutral or dissatisfied,25,Female,Discontinued,Business,Business,239,0,0,5,3,3,4,5,2,3,5,5,5,2,2,5,5
27162,78222,neutral or dissatisfied,50,Male,Loyal,Personal,Economy,259,0,0,5,3,3,5,2,3,3,2,2,2,3,3,3,2
9008,46385,satisfied,23,Female,Loyal,Business,Business,1013,0,0,5,5,4,4,2,5,2,4,4,4,5,5,2,4
28055,16075,neutral or dissatisfied,53,Male,Loyal,Personal,Economy,744,102,101,5,2,2,4,2,3,5,4,4,4,2,5,5,4
66549,44588,neutral or dissatisfied,48,Male,Loyal,Personal,Economy,84,0,0,4,2,2,5,5,3,4,5,5,5,2,2,4,5
79652,91269,neutral or dissatisfied,16,Female,Loyal,Personal,Economy,404,0,0,2,4,4,1,4,4,2,1,1,1,4,2,3,1
98111,31537,neutral or dissatisfied,63,Female,Loyal,Personal,Economy,846,24,30,5,1,4,3,2,3,2,4,3,2,1,1,2,4
48979,64162,neutral or dissatisfied,66,Male,Loyal,Personal,Economy,989,48,29,4,3,3,3,4,2,5,1,1,1,3,3,4,1
10304,84413,satisfied,38,Male,Loyal,Personal,Economy,591,1,0,2,4,4,3,3,3,3,2,5,5,4,1,4,5
34226,42206,satisfied,54,Male,Loyal,Business,Economy,784,0,0,3,3,3,1,5,3,3,3,3,3,3,2,1,3
51420,85090,satisfied,51,Male,Loyal,Business,Business,3935,0,10,2,2,5,3,3,2,3,4,5,3,2,3,3,5
82435,11981,neutral or dissatisfied,34,Female,Loyal,Business,Business,3813,0,0,4,4,4,4,2,4,2,4,1,2,2,2,2,4
55366,72630,neutral or dissatisfied,12,Female,Loyal,Personal,Economy,1119,0,0,4,4,4,3,5,1,5,3,3,3,4,4,4,3
44427,106560,satisfied,48,Male,Loyal,Business,Business,2123,2,0,1,1,4,3,5,1,5,5,2,5,1,5,5,4
34318,51146,neutral or dissatisfied,56,Male,Loyal,Personal,Economy,110,0,0,1,3,3,2,4,3,3,5,5,5,3,3,4,5
63305,89647,neutral or dissatisfied,20,Female,Discontinued,Business,Economy,950,0,0,3,3,3,1,3,2,1,3,3,3,3,2,2,3
15335,108660,neutral or dissatisfied,13,Female,Loyal,Personal,Economy,1747,28,16,1,2,2,3,2,4,3,1,1,1,2,2,4,1
20856,29376,satisfied,47,Female,Loyal,Business,Economy,2349,0,0,4,4,5,5,4,4,4,5,3,4,4,4,4,2
83814,10422,satisfied,58,Male,Loyal,Business,Business,2479,0,0,1,2,4,4,5,1,5,4,5,5,1,5,5,5
38444,8820,neutral or dissatisfied,20,Female,Loyal,Personal,Economy,522,454,458,4,2,3,3,4,3,3,3,2,4,2,5,3,3
40764,128183,neutral or dissatisfied,19,Male,Loyal,Personal,Economy,1849,0,0,1,3,3,4,4,4,4,4,4,4,3,4,3,4
51237,79172,satisfied,27,Female,Loyal,Business,Business,2422,30,0,1,1,4,3,4,1,3,4,4,4,1,3,5,4
92773,69502,neutral or dissatisfied,11,Male,Loyal,Personal,Economy Plus,1096,0,0,1,4,4,1,4,4,2,5,5,5,3,3,3,5
72820,120912,neutral or dissatisfied,25,Female,Discontinued,Business,Business,992,0,0,5,1,1,5,4,3,5,3,3,3,1,4,4,3
49987,60938,satisfied,52,Female,Loyal,Business,Business,3297,5,0,5,5,5,5,3,5,3,5,3,3,5,3,3,3
23975,91063,neutral or dissatisfied,58,Male,Loyal,Personal,Economy,406,34,28,4,4,4,3,4,1,4,2,2,2,4,4,5,2
8086,19319,neutral or dissatisfied,24,Male,Discontinued,Business,Economy,743,14,18,2,2,2,5,3,4,4,4,4,4,2,1,2,4
28923,121271,neutral or dissatisfied,52,Male,Loyal,Personal,Economy,2075,0,0,5,3,3,4,3,2,3,2,2,2,3,4,5,2
38324,44003,neutral or dissatisfied,39,Male,Loyal,Business,Economy,397,31,27,3,3,2,4,1,3,3,2,2,2,2,4,2,2
72082,57212,neutral or dissatisfied,30,Male,Discontinued,Business,Economy,1039,23,28,1,1,1,4,3,3,3,5,5,5,1,1,3,5
404,73190,neutral or dissatisfied,25,Male,Discontinued,Business,Economy,1258,199,185,3,3,2,2,3,3,2,2,3,1,3,3,1,2
57596,54583,neutral or dissatisfied,14,Male,Discontinued,Business,Business,3904,9,12,4,3,5,5,4,4,5,5,3,4,2,4,1,5
57375,22544,satisfied,48,Female,Loyal,Business,Economy Plus,145,0,0,3,5,5,1,5,5,5,4,1,5,5,5,5,1
42840,16088,satisfied,32,Male,Loyal,Business,Economy,303,76,68,3,3,5,2,2,3,1,5,5,5,5,1,3,5
8387,91490,neutral or dissatisfied,21,Female,Discontinued,Business,Economy,859,0,0,3,3,3,1,3,3,4,3,3,3,3,2,4,3
64404,67941,neutral or dissatisfied,39,Male,Loyal,Personal,Economy,1235,8,6,1,2,2,4,3,2,2,2,2,2,2,5,2,2
23844,10947,neutral or dissatisfied,66,Male,Loyal,Business,Business,312,0,0,3,3,3,3,1,3,1,4,4,1,1,1,1,3
12709,111162,neutral or dissatisfied,9,Female,Loyal,Personal,Economy,1111,8,0,3,1,1,2,4,3,1,4,4,4,1,2,3,4
98192,9956,satisfied,43,Male,Loyal,Business,Business,515,0,0,5,3,4,3,4,5,4,5,2,4,5,5,4,4
92469,100927,satisfied,64,Female,Loyal,Personal,Economy,838,0,0,4,4,4,3,4,2,4,5,5,4,4,4,4,5
46109,65747,neutral or dissatisfied,25,Female,Loyal,Personal,Economy,1061,0,0,4,3,3,5,4,3,5,5,5,5,3,5,5,5
63464,34811,neutral or dissatisfied,49,Female,Loyal,Personal,Economy,264,0,0,1,1,2,3,1,2,1,3,4,1,1,1,1,3
86307,100738,satisfied,43,Male,Loyal,Business,Business,328,0,0,4,1,1,5,5,4,5,5,1,5,4,5,5,5
42096,44631,satisfied,57,Male,Loyal,Business,Business,2587,0,71,5,5,1,3,4,5,4,4,1,4,5,4,4,4
21741,67263,neutral or dissatisfied,46,Female,Loyal,Personal,Economy,1119,14,21,5,2,5,3,1,4,1,5,3,1,2,2,1,4
6589,129279,neutral or dissatisfied,66,Male,Loyal,Personal,Economy Plus,2402,0,0,5,3,3,3,4,4,3,5,5,5,3,4,4,5
63628,23188,neutral or dissatisfied,24,Female,Loyal,Personal,Economy,250,4,17,3,3,3,4,3,4,1,1,2,2,3,2,4,2
33941,49764,satisfied,45,Female,Loyal,Business,Economy,308,0,0,1,1,5,5,3,1,3,4,5,3,4,4,3,1
56830,57489,neutral or dissatisfied,58,Female,Loyal,Business,Business,1075,13,10,1,1,1,1,2,1,2,1,4,2,2,2,2,2
55506,82517,neutral or dissatisfied,27,Male,Discontinued,Business,Economy,1749,22,49,0,0,1,3,2,4,1,4,4,4,1,1,3,4
90188,29322,neutral or dissatisfied,21,Female,Loyal,Personal,Economy,834,0,0,4,1,1,4,4,5,3,5,5,5,1,5,5,5
29666,76022,neutral or dissatisfied,41,Male,Loyal,Business,Business,2079,69,53,1,4,3,2,4,4,4,3,1,4,4,4,4,4
25166,120409,neutral or dissatisfied,24,Female,Discontinued,Business,Economy,449,0,0,5,1,1,5,4,3,4,5,5,5,1,3,4,5
62559,67242,neutral or dissatisfied,17,Male,Loyal,Personal,Economy,1121,0,0,4,2,2,5,4,4,3,5,5,5,2,3,5,5
21123,124852,neutral or dissatisfied,18,Male,Loyal,Personal,Economy,280,15,20,4,2,2,3,4,2,3,5,5,5,2,2,5,5
39177,70216,satisfied,46,Male,Loyal,Business,Business,403,1,0,2,2,5,4,5,2,5,5,4,5,2,5,5,4
70271,17618,satisfied,24,Female,Loyal,Business,Economy,622,56,53,4,4,5,5,1,4,2,4,4,4,4,3,3,4
292,10430,satisfied,39,Male,Discontinued,Business,Business,140,0,7,4,4,4,4,4,3,3,2,4,4,4,4,4,4
18494,7127,satisfied,41,Male,Loyal,Business,Business,2231,12,4,2,2,4,5,5,2,5,5,2,5,2,5,5,4
62841,68565,satisfied,46,Female,Loyal,Business,Business,1616,7,0,4,5,3,5,5,4,5,5,5,5,4,5,5,4
56613,101157,satisfied,52,Female,Loyal,Business,Business,3163,11,3,5,4,5,5,4,5,4,5,2,4,5,4,4,4
93376,19347,neutral or dissatisfied,39,Male,Loyal,Business,Business,2670,34,29,3,1,3,1,3,1,3,3,2,3,3,2,3,1
80991,1366,satisfied,56,Male,Loyal,Business,Business,309,0,0,3,3,4,3,4,3,4,4,5,4,3,4,4,3
73793,79138,neutral or dissatisfied,65,Male,Loyal,Business,Economy Plus,226,0,0,2,2,4,4,3,2,4,4,4,4,4,1,4,4
55160,67326,neutral or dissatisfied,36,Male,Loyal,Personal,Economy Plus,1102,0,0,5,1,1,4,4,2,5,2,2,2,2,3,4,2
48737,92627,satisfied,56,Male,Loyal,Business,Business,1970,0,0,2,2,5,3,4,2,4,5,3,4,2,4,4,3
89482,85571,neutral or dissatisfied,19,Male,Discontinued,Business,Economy,259,0,0,4,2,2,1,3,3,1,1,1,1,2,2,4,1
77940,118107,satisfied,14,Male,Loyal,Personal,Economy,1999,0,0,4,5,4,4,5,2,1,2,2,2,5,2,2,2
35407,91126,neutral or dissatisfied,65,Male,Loyal,Personal,Economy,545,0,0,3,1,1,3,2,2,4,4,4,4,1,1,2,4
27356,66563,neutral or dissatisfied,50,Female,Loyal,Personal,Economy,328,0,7,4,3,5,5,3,3,5,5,3,5,3,3,5,3
15354,107239,neutral or dissatisfied,26,Female,Discontinued,Business,Business,307,25,20,0,3,3,4,4,2,5,1,1,1,3,2,4,1
47800,36569,neutral or dissatisfied,49,Female,Discontinued,Business,Economy,1121,0,0,4,4,4,2,5,2,1,4,4,4,4,3,1,4
52757,62835,satisfied,59,Male,Loyal,Business,Business,2615,3,0,5,5,4,4,5,5,5,4,5,5,5,5,5,4
85168,92893,satisfied,41,Female,Loyal,Business,Business,3039,45,40,4,0,5,5,1,5,1,5,4,1,0,1,1,3
5627,128466,neutral or dissatisfied,15,Female,Loyal,Personal,Economy,370,1,0,2,2,2,3,4,4,2,2,2,2,2,5,4,2
76226,84473,satisfied,29,Male,Loyal,Personal,Economy,1142,0,0,3,4,4,1,2,4,1,1,3,3,4,4,3,3
27109,88381,neutral or dissatisfied,39,Female,Discontinued,Business,Business,366,90,89,2,2,2,2,3,3,2,2,2,2,2,5,3,2
71667,97182,neutral or dissatisfied,10,Female,Loyal,Personal,Economy,1164,34,11,1,4,4,2,2,3,3,2,2,2,4,5,4,2
